#efficiency name: WP80
#dimension: 1
#XMin XMax EtaMin  EtaMax  PUMin PUMax NumParms eff      systp    systm    den    phistar
23.5  24   1.566   2.5     5     11    5        0.561078 0.568649 0.553506 213.971 0
23.5  24   -2.5    -1.566  0     5     5        0.786287 0.788968 0.783607 306     0
23.5  24   -2.5    -1.566  11    102   5        0.191007 0.311054 0.070960 37      0
23.5  24   -2.5    -1.566  5     11    5        0.582742 0.589372 0.576113 207     0
24    24.5 -1.4442 1.4442  0     5     5        0.841734 0.849907 0.833561 858     0
24    24.5 -1.4442 1.4442  11    102   5        0.446931 0.447205 0.446657 179     0
24    24.5 -1.4442 1.4442  5     11    5        0.71295  0.722753 0.703146 830     0
24    24.5 1.566   2.5     0     5     5        0.836303 0.851852 0.820755 318     0
24    24.5 1.566   2.5     11    102   5        0.34191  0.379976 0.303843 38.8605 0
24    24.5 1.566   2.5     5     11    5        0.634084 0.649746 0.618421 228     0
24    24.5 -2.5    -1.566  0     5     5        0.798358 0.801105 0.795612 362     0
24    24.5 -2.5    -1.566  11    102   5        0.325002 0.333333 0.31667  42      0
24    24.5 -2.5    -1.566  5     11    5        0.529592 0.530696 0.528489 255.952 0
24.5  25   -1.4442 1.4442  0     5     5        0.853745 0.857372 0.850117 985     0
24.5  25   -1.4442 1.4442  11    102   5        0.508669 0.512346 0.504993 181     0
24.5  25   -1.4442 1.4442  5     11    5        0.682367 0.684427 0.680307 896     0
24.5  25   1.566   2.5     0     5     5        0.785572 0.785714 0.78543  308     0
24.5  25   1.566   2.5     11    102   5        0.330769 0.350428 0.311111 45      0
24.5  25   1.566   2.5     5     11    5        0.626179 0.632302 0.620055 291     0
24.5  25   -2.5    -1.566  0     5     5        0.806553 0.81713  0.795977 348     0
24.5  25   -2.5    -1.566  11    102   5        0.378088 0.387755 0.368421 49      0
24.5  25   -2.5    -1.566  5     11    5        0.640736 0.653266 0.628205 234     0
25    25.5 -1.4442 1.4442  0     5     5        0.87139  0.877141 0.865639 1049    0
25    25.5 -1.4442 1.4442  11    102   5        0.54063  0.541787 0.539474 174     0
25    25.5 -1.4442 1.4442  5     11    5        0.7144   0.719122 0.709677 990     0
25    25.5 1.566   2.5     0     5     5        0.794137 0.795527 0.792747 313     0
25    25.5 1.566   2.5     11    102   5        0.314286 0.333333 0.295238 39      0
25    25.5 1.566   2.5     5     11    5        0.667232 0.679442 0.655022 229     0
25    25.5 -2.5    -1.566  0     5     5        0.792793 0.795829 0.789757 371     0
25    25.5 -2.5    -1.566  11    102   5        0.470819 0.484848 0.45679  33      0
25    25.5 -2.5    -1.566  5     11    5        0.579078 0.594156 0.564    251     0
25.5  26   -1.4442 1.4442  0     5     5        0.865485 0.870905 0.860065 1066    0
25.5  26   -1.4442 1.4442  11    102   5        0.446619 0.449451 0.443787 188     0
25.5  26   -1.4442 1.4442  5     11    5        0.707122 0.714683 0.699561 1010    0
25.5  26   1.566   2.5     0     5     5        0.832528 0.838284 0.826772 382     0
25.5  26   1.566   2.5     11    102   5        0.458281 0.476563 0.44     50      0
25.5  26   1.566   2.5     5     11    5        0.623959 0.632272 0.615646 294     0
25.5  26   -2.5    -1.566  0     5     5        0.808804 0.815884 0.801724 348     0
25.5  26   -2.5    -1.566  11    102   5        0.387627 0.388889 0.386364 54      0
25.5  26   -2.5    -1.566  5     11    5        0.61989  0.62466  0.61512  292     0
26    26.5 -1.4442 1.4442  0     5     5        0.873363 0.881417 0.86531  1169    0
26    26.5 -1.4442 1.4442  11    102   5        0.509311 0.515016 0.503605 217.993 0
26    26.5 -1.4442 1.4442  5     11    5        0.748075 0.757982 0.738167 1111    0
