#put your comments after a '#'.
#efficiency name: HLT
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         20        105         -3       -2.8          4          0          1         -1          0
         20        105       -2.8       -2.6          4          0          1         -1          0
         20        105       -2.6       -2.5          4          0          1         -1     199.76
         20        105       -2.5      -2.25          4     0.8918          1         -1     2015.8
         20        105      -2.25         -2          4     0.9521          1         -1     2396.8
         20        105         -2      -1.75          4     0.9519          1         -1       2874
         20        105      -1.75      -1.56          4     0.9264          1         -1     2372.6
         20        105     -1.444      -1.25          4     0.9445          1         -1     3027.7
         20        105      -1.25         -1          4     0.9625          1         -1     4050.4
         20        105         -1      -0.75          4     0.9718          1         -1     4460.1
         20        105      -0.75       -0.5          4     0.9813          1         -1     4671.5
         20        105       -0.5      -0.25          4     0.9731          1         -1     4848.3
         20        105      -0.25          0          4     0.9828          1         -1     4842.2
         20        105          0       0.25          4     0.9814          1         -1     4756.5
         20        105       0.25        0.5          4     0.9835          1         -1     4772.6
         20        105        0.5       0.75          4     0.9765          1         -1     4601.6
         20        105       0.75          1          4     0.9743          1         -1     4269.3
         20        105          1       1.25          4     0.9637          1         -1     4039.5
         20        105       1.25      1.444          4     0.9384          1         -1     2929.4
         20        105       1.56       1.75          4     0.9417          1         -1     2391.1
         20        105       1.75          2          4     0.9434          1         -1     2907.5
         20        105          2       2.25          4     0.9471          1         -1       2474
         20        105       2.25        2.5          4      0.874          1         -1       2022
         20        105        2.5        2.6          4          0          1         -1     167.29
         20        105        2.6        2.8          4          0          1         -1          0
         20        105        2.8          3          4          0          1         -1          0
