#put your comments after a '#'.
#efficiency name: ElectronId
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         20        105         -3       -2.8          4          0          1         -1          0
         20        105       -2.8       -2.6          4          0          1         -1          0
         20        105       -2.6       -2.5          4     0.9742          1         -1     116.43
         20        105       -2.5      -2.25          4     0.9683          1         -1     1071.7
         20        105      -2.25         -2          4     0.9755          1         -1     1266.2
         20        105         -2      -1.75          4      0.982          1         -1     1522.6
         20        105      -1.75      -1.56          4     0.9646          1         -1     1229.2
         20        105     -1.444      -1.25          4     0.9825          1         -1     1431.5
         20        105      -1.25         -1          4     0.9824          1         -1     1822.3
         20        105         -1      -0.75          4      0.979          1         -1     1917.2
         20        105      -0.75       -0.5          4     0.9729          1         -1     2326.2
         20        105       -0.5      -0.25          4     0.9785          1         -1     2117.1
         20        105      -0.25          0          4     0.9735          1         -1       2339
         20        105          0       0.25          4     0.9797          1         -1     2332.7
         20        105       0.25        0.5          4     0.9782          1         -1       2064
         20        105        0.5       0.75          4     0.9801          1         -1     2402.8
         20        105       0.75          1          4     0.9852          1         -1     1902.3
         20        105          1       1.25          4     0.9852          1         -1     1732.5
         20        105       1.25      1.444          4     0.9846          1         -1       1459
         20        105       1.56       1.75          4     0.9661          1         -1       1140
         20        105       1.75          2          4      0.973          1         -1     1406.9
         20        105          2       2.25          4     0.9815          1         -1     1225.4
         20        105       2.25        2.5          4     0.9715          1         -1     1086.5
         20        105        2.5        2.6          4     0.9443          1         -1     107.81
         20        105        2.6        2.8          4          0          1         -1          0
         20        105        2.8          3          4          0          1         -1          0
