#put your comments after a '#'.
#efficiency name: GsfTrack
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
          0         20         -3      -1.56          4          0          1         -1       4288
          0         20      -1.56       1.56          4    0.01046          1         -1       1147
          0         20       1.56          3          4     0.0012          1         -1       4167
         20        105         -3       -2.6          4          0          1         -1       1466
         20        105        2.6          3          4          0          1         -1       1471
         20        105       -2.6       -2.5          4     0.2634          1         -1        505
         20        105        2.5        2.6          4     0.2404          1         -1        520
         20         25       -2.5      -1.56          4     0.7527          1         -1        651
         20         25       1.56        2.5          4     0.7169          1         -1        650
         25         30       -2.5      -1.56          4     0.8158          1         -1        809
         25         30       1.56        2.5          4     0.8256          1         -1        814
         30         35       -2.5      -1.56          4     0.8798          1         -1        998
         30         35       1.56        2.5          4     0.8447          1         -1        979
         35       42.5       -2.5      -1.56          4     0.9144          1         -1       1810
         35       42.5       1.56        2.5          4     0.9011          1         -1       1830
       42.5         50       -2.5      -1.56          4     0.9251          1         -1       1588
       42.5         50       1.56        2.5          4     0.9244          1         -1       1494
         50         65       -2.5      -1.56          4        0.9          1         -1        540
         50         65       1.56        2.5          4     0.8883          1         -1        591
         65        105       -2.5      -1.56          4     0.8766          1         -1        154
         65        105       1.56        2.5          4     0.8323          1         -1        155
         20         30     -1.442         -1          4     0.9121          1         -1        660
         20         25         -1          1          4     0.9058          1         -1       1221
         25         30         -1          1          4     0.9527          1         -1       1988
         20         30          1      1.442          4     0.8974          1         -1        575
         30         35     -1.442         -1          4     0.9564          1         -1        482
         30       32.5         -1          1          4     0.9596          1         -1       1360
       32.5         35         -1          1          4     0.9716          1         -1       1552
         30         35          1      1.442          4     0.9506          1         -1        526
         35       42.5     -1.442         -1          4      0.965          1         -1       1230
         35       42.5         -1          1          4     0.9749          1         -1       6142
         35       42.5          1      1.442          4     0.9643          1         -1       1120
       42.5         50     -1.442         -1          4     0.9757          1         -1        946
       42.5         50         -1          1          4     0.9813          1         -1       5076
       42.5         50          1      1.442          4     0.9711          1         -1       1003
         50         60     -1.442      1.442          4     0.9755          1         -1       2367
         60        105     -1.442      1.442          4     0.9731          1         -1       1225
