#put your comments after a '#'.
#efficiency name: GsfTrack
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
          0         20         -3      -1.56          4          0          1         -1        868
          0         20      -1.56       1.56          4    0.01255          1         -1        239
          0         20       1.56          3          4          0          1         -1        812
         20        105         -3       -2.6          4          0          1         -1        285
         20        105        2.6          3          4          0          1         -1        316
         20        105       -2.6       -2.5          4     0.2407          1         -1        108
         20        105        2.5        2.6          4     0.2473          1         -1         93
         20         25       -2.5      -1.56          4     0.7622          1         -1        143
         20         25       1.56        2.5          4     0.7404          1         -1        104
         25         30       -2.5      -1.56          4     0.8039          1         -1        153
         25         30       1.56        2.5          4        0.8          1         -1        155
         30         35       -2.5      -1.56          4     0.8578          1         -1        204
         30         35       1.56        2.5          4     0.8731          1         -1        197
         35       42.5       -2.5      -1.56          4     0.9144          1         -1        374
         35       42.5       1.56        2.5          4     0.9044          1         -1        366
       42.5         50       -2.5      -1.56          4     0.9294          1         -1        326
       42.5         50       1.56        2.5          4      0.914          1         -1        314
         50         65       -2.5      -1.56          4      0.932          1         -1        103
         50         65       1.56        2.5          4     0.9048          1         -1        105
         65        105       -2.5      -1.56          4     0.8387          1         -1         31
         65        105       1.56        2.5          4     0.8621          1         -1         29
         20         30     -1.442         -1          4     0.9138          1         -1        116
         20         25         -1          1          4     0.9011          1         -1        263
         25         30         -1          1          4     0.9449          1         -1        399
         20         30          1      1.442          4     0.8909          1         -1        110
         30         35     -1.442         -1          4     0.9468          1         -1         94
         30       32.5         -1          1          4     0.9812          1         -1        266
       32.5         35         -1          1          4     0.9567          1         -1        300
         30         35          1      1.442          4     0.9541          1         -1        109
         35       42.5     -1.442         -1          4      0.971          1         -1        241
         35       42.5         -1          1          4     0.9714          1         -1       1188
         35       42.5          1      1.442          4     0.9723          1         -1        253
       42.5         50     -1.442         -1          4     0.9567          1         -1        208
       42.5         50         -1          1          4     0.9797          1         -1        984
       42.5         50          1      1.442          4      0.965          1         -1        200
         50         60     -1.442      1.442          4     0.9742          1         -1        466
         60        105     -1.442      1.442          4     0.9685          1         -1        222
