#put your comments after a '#'.
#efficiency name: Iso
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      statp      statm        den
          0          0        100        100          4          0          1         -1          0
         10         20       -2.5      -1.56          4       0.42          1         -1      2.381
         20         25       -2.5      -1.56          4     0.9152          1         -1     94.333
         25         30       -2.5      -1.56          4     0.9094          1         -1     99.286
         30         35       -2.5      -1.56          4     0.8943          1         -1     151.33
         35       37.5       -2.5      -1.56          4     0.9336          1         -1     99.643
       37.5         40       -2.5      -1.56          4     0.9608          1         -1     100.29
         40         45       -2.5      -1.56          4     0.9693          1         -1     260.17
         45         50       -2.5      -1.56          4     0.9617          1         -1     156.62
         50         60       -2.5      -1.56          4      0.945          1         -1     72.667
         60        105       -2.5      -1.56          4     0.8611          1         -1         36
         10         20     -1.442      1.442          4     0.5532          1         -1     6.7143
         20         25     -1.442      1.442          4     0.9884          1         -1     230.33
         25         30     -1.442      1.442          4     0.9962          1         -1     408.71
         30       32.5     -1.442      1.442          4      0.967          1         -1     281.62
       32.5         35     -1.442      1.442          4     0.9778          1         -1     377.33
         35       37.5     -1.442      1.442          4     0.9732          1         -1     447.83
       37.5         40     -1.442      1.442          4     0.9758          1         -1     579.62
         40       42.5     -1.442      1.442          4     0.9843          1         -1     571.67
       42.5         45     -1.442      1.442          4     0.9754          1         -1     594.62
         45         50     -1.442      1.442          4     0.9913          1         -1      760.6
         50         55     -1.442      1.442          4     0.9768          1         -1     267.33
         55         60     -1.442      1.442          4     0.9835          1         -1     121.48
         60        105     -1.442      1.442          4     0.9599          1         -1      199.4
         10         20       1.56        2.5          4        0.5          1         -1          2
         20         25       1.56        2.5          4     0.8971          1         -1      64.81
         25         30       1.56        2.5          4      0.949          1         -1     111.98
         30         35       1.56        2.5          4     0.9172          1         -1     160.12
         35       37.5       1.56        2.5          4     0.9394          1         -1     99.071
       37.5         40       1.56        2.5          4     0.9498          1         -1     115.62
         40         45       1.56        2.5          4     0.9441          1         -1     243.48
         45         50       1.56        2.5          4     0.9506          1         -1      161.9
         50         60       1.56        2.5          4     0.9277          1         -1         79
         60        105       1.56        2.5          4     0.9203          1         -1     37.619
