#put your comments after a '#'.
#efficiency name: WP90
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.7393     0.7443     0.7343     479.31
         30         35       -2.5       -1.5          4     0.8232     0.8274     0.8191     393.61
         35         40       -2.5       -1.5          4     0.8483      0.852     0.8447      541.6
         40         50       -2.5       -1.5          4      0.885     0.8868     0.8832     1027.1
         50        500       -2.5       -1.5          4     0.9254      0.933     0.9178     258.01
         20         30       -1.5          0          4     0.7888     0.7922     0.7855     873.92
         30         35       -1.5          0          4      0.883     0.8857     0.8803     912.75
         35         40       -1.5          0          4     0.9115     0.9134     0.9096       1344
         40         50       -1.5          0          4      0.924     0.9253     0.9228     2680.7
         50        500       -1.5          0          4     0.9373      0.941     0.9337     827.68
         20         30          0        1.5          4     0.8407     0.8442     0.8373     865.22
         30         35          0        1.5          4      0.898     0.9005     0.8954     982.37
         35         40          0        1.5          4      0.933     0.9353     0.9307     1327.4
         40         50          0        1.5          4     0.9443     0.9456      0.943     2697.2
         50        500          0        1.5          4     0.9384     0.9428     0.9341     751.86
         20         30        1.5        2.5          4     0.7448     0.7493     0.7404      516.3
         30         35        1.5        2.5          4      0.865      0.869     0.8611     455.76
         35         40        1.5        2.5          4     0.8521     0.8545     0.8497     584.89
         40         50        1.5        2.5          4     0.8917     0.8938     0.8896     1002.5
         50        500        1.5        2.5          4     0.9261     0.9321     0.9202     304.32
