#put your comments after a '#'.
#efficiency name: WP80
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4      0.595     0.5982     0.5918     687.27
         30         35       -2.5       -1.5          4     0.6974     0.7008     0.6941     479.21
         35         40       -2.5       -1.5          4     0.6948     0.6976     0.6921     601.76
         40         50       -2.5       -1.5          4     0.7875     0.7893     0.7857     1140.8
         50        500       -2.5       -1.5          4     0.8094     0.8155     0.8034     354.59
         20         30       -1.5          0          4     0.7077       0.71     0.7053     1320.6
         30         35       -1.5          0          4     0.8142     0.8165     0.8119     1095.9
         35         40       -1.5          0          4     0.8431     0.8447     0.8415     1525.8
         40         50       -1.5          0          4     0.8781     0.8793     0.8769     3004.6
         50        500       -1.5          0          4     0.8804     0.8839     0.8768       1112
         20         30          0        1.5          4     0.7255     0.7279      0.723     1292.8
         30         35          0        1.5          4     0.8274     0.8297     0.8251       1157
         35         40          0        1.5          4      0.861      0.863     0.8589     1496.4
         40         50          0        1.5          4     0.8922     0.8936     0.8909     2985.9
         50        500          0        1.5          4     0.8694     0.8734     0.8654     1009.9
         20         30        1.5        2.5          4     0.5895     0.5924     0.5866      727.5
         30         35        1.5        2.5          4     0.6824      0.685     0.6797     575.52
         35         40        1.5        2.5          4     0.7294     0.7317     0.7271     630.52
         40         50        1.5        2.5          4     0.7877       0.79     0.7855     1102.6
         50        500        1.5        2.5          4     0.8285     0.8339     0.8232     392.31
