#put your comments after a '#' 
# PDF relativeSensitivity_cteq65_vector_16.txt
#Bin        XMin        XMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75   -0.029061
8       -3.75        -3.5  -0.0274411
9        -3.5       -3.25  -0.0248767
10       -3.25          -3  -0.0234901
11          -3       -2.75  -0.0213936
12       -2.75        -2.5  -0.0181712
13        -2.5       -2.25  -0.0145879
14       -2.25          -2  -0.0102932
15          -2       -1.75 -0.00623689
16       -1.75        -1.5 -0.00289795
17        -1.5       -1.25 0.000919561
18       -1.25          -1  0.00297982
19          -1       -0.75  0.00626632
20       -0.75        -0.5  0.00794476
21        -0.5       -0.25  0.00893932
22       -0.25           0  0.00951404
23           0        0.25  0.00947781
24        0.25         0.5  0.00897458
25         0.5        0.75  0.00787502
26        0.75           1   0.0062052
27           1        1.25  0.00320167
28        1.25         1.5 0.000707242
29         1.5        1.75 -0.00286409
30        1.75           2 -0.00634438
31           2        2.25  -0.0103181
32        2.25         2.5  -0.0145857
33         2.5        2.75  -0.0181243
34        2.75           3  -0.0213556
35           3        3.25   -0.023681
36        3.25         3.5  -0.0247268
37         3.5        3.75  -0.0271104
38        3.75           4  -0.0305551
39           4        4.25  -0.0288879
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
