#put your comments after a '#' 
# PDF relativeSensitivity_cteq65_vector_5.txt
#Bin        XMin        XMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75   0.0175755
8       -3.75        -3.5   0.0190715
9        -3.5       -3.25   0.0175786
10       -3.25          -3   0.0129892
11          -3       -2.75  0.00903239
12       -2.75        -2.5  0.00609318
13        -2.5       -2.25  0.00279227
14       -2.25          -2  0.00123428
15          -2       -1.75 0.000272058
16       -1.75        -1.5 -0.00144321
17        -1.5       -1.25 -0.00178538
18       -1.25          -1 -0.00272069
19          -1       -0.75 -0.00178363
20       -0.75        -0.5 -0.00158155
21        -0.5       -0.25 -0.00159515
22       -0.25           0 -0.00157508
23           0        0.25 -0.00155645
24        0.25         0.5  -0.0015841
25         0.5        0.75 -0.00158477
26        0.75           1 -0.00174475
27           1        1.25 -0.00277024
28        1.25         1.5 -0.00181111
29         1.5        1.75 -0.00147035
30        1.75           2 0.000273174
31           2        2.25  0.00120841
32        2.25         2.5   0.0028311
33         2.5        2.75  0.00616032
34        2.75           3  0.00904498
35           3        3.25    0.012889
36        3.25         3.5   0.0175282
37         3.5        3.75   0.0197198
38        3.75           4    0.018923
39           4        4.25   0.0595666
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
