# Comparison of background expecations to actual numbers
# (bdahmes, 23.05.09, lumi=50 pb^{-1})
# bgExp = BG expectation in [70,110), exponential background model
# bgExpErr = Uncertainty on bgExp values
# bgLin = Same as bgExp, assuming background is P1
# bgLinErr = Uncertainty on bgLin values
# bgA = Actual number of background events
# E-A/S+B = Expectation (exponential) - Actual, divided by signal + background
#           A and B are the same in this case
# |L-E| = Abs val of difference between linear, exp estimates 
# bin   Ylo       Yhi     bgExp  bgExpErr   bgA  E-A/S+B    bgLin  bgLinErr   |L-E|
   8    -3.75    -3.50      1.0      0.0      0    0.083      0.0      0.0      1.0 
   9    -3.50    -3.25      8.4      0.0      3    0.059      0.0      0.0      8.4 
  10    -3.25    -3.00     89.9     65.5     59    0.104     74.9     48.2     15.0 
  11    -3.00    -2.75     85.5     11.1    131   -0.073     65.9    220.0     19.6 
  12    -2.75    -2.50    176.8     45.2    152    0.043    182.1     53.6      5.3 
  13    -2.50    -2.25     94.7     42.6    126   -0.059     71.2     64.8     23.5 
  14    -2.25    -2.00     78.9     18.2     83   -0.006     72.5     25.0      6.4 
  15    -2.00    -1.75    100.4      5.7     61    0.054     85.0     11.4     15.4 
  16    -1.75    -1.50     64.7     40.0     37    0.033     42.6     13.0     22.1 
  17    -1.50    -1.25     49.0     41.7     21    0.027     15.2     15.2     33.8 
  18    -1.25    -1.00     36.0      2.9     13    0.020      0.0      0.0     36.0 
  19    -1.00    -0.75     41.3      2.6     14    0.022      0.0      0.0     41.3 
  20    -0.75    -0.50     24.8      6.2     21    0.003      0.0      0.0     24.8 
  21    -0.50    -0.25     63.9      0.8     11    0.039     17.9     12.7     46.0 
  22    -0.25     0.00     30.8      3.3     14    0.013      0.0      0.0     30.8 
  23     0.00     0.25     40.5      2.5     19    0.016      0.0      0.0     40.5 
  24     0.25     0.50     33.5      2.9     10    0.018      0.0      0.0     33.5 
  25     0.50     0.75     35.7      4.5     19    0.013      0.0      0.0     35.7 
  26     0.75     1.00      7.8      7.8     14   -0.005      0.0      0.0      7.8 
  27     1.00     1.25      2.2      0.0      6   -0.003      0.0      0.0      2.2 
  28     1.25     1.50     71.9      7.7     26    0.045     60.5    140.2     11.4 
  29     1.50     1.75     67.9     13.3     27    0.048     50.5     12.2     17.4 
  30     1.75     2.00     97.9     19.9     65    0.047    112.1     25.1     14.2 
  31     2.00     2.25    110.6     91.1    119   -0.013    110.5     71.2      0.1 
  32     2.25     2.50    129.2     22.5    155   -0.044    126.8     27.5      2.4 
  33     2.50     2.75    164.0    107.4    172   -0.013    157.8     65.6      6.1 
  34     2.75     3.00    152.2     23.1     92    0.103    144.7     28.4      7.6 
  35     3.00     3.25     64.2      9.8     59    0.017     30.3      6.3     34.0 
  36     3.25     3.50     14.3      0.0      8    0.074     23.0      5.3      8.7 
  37     3.50     3.75      0.6      0.0      0    0.083      0.0      0.0      0.6 
