#put your comments after a '#' 
# PDF relativeSensitivity_cteq65_vector_25.txt
#Bin        XMin        XMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75   0.0568269
8       -3.75        -3.5   0.0399435
9        -3.5       -3.25   0.0341992
10       -3.25          -3   0.0303214
11          -3       -2.75   0.0285033
12       -2.75        -2.5   0.0275806
13        -2.5       -2.25    0.025052
14       -2.25          -2   0.0217579
15          -2       -1.75   0.0166534
16       -1.75        -1.5  0.00987395
17        -1.5       -1.25  0.00330609
18       -1.25          -1  -0.0042062
19          -1       -0.75 -0.00935969
20       -0.75        -0.5  -0.0143672
21        -0.5       -0.25  -0.0179794
22       -0.25           0  -0.0197276
23           0        0.25  -0.0197431
24        0.25         0.5   -0.017928
25         0.5        0.75  -0.0144921
26        0.75           1 -0.00950253
27           1        1.25  -0.0039882
28        1.25         1.5  0.00330022
29         1.5        1.75  0.00981208
30        1.75           2   0.0164888
31           2        2.25   0.0217796
32        2.25         2.5   0.0250327
33         2.5        2.75   0.0275304
34        2.75           3   0.0284205
35           3        3.25   0.0304095
36        3.25         3.5   0.0341202
37         3.5        3.75   0.0423312
38        3.75           4   0.0656296
39           4        4.25   0.0784814
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
