#put your comments after a '#' 
# PDF relativeSensitivity_cteq65_vector_26.txt
#Bin        XMin        XMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75  -0.0253938
8       -3.75        -3.5  -0.0161045
9        -3.5       -3.25  -0.0122579
10       -3.25          -3  -0.0124348
11          -3       -2.75  -0.0128666
12       -2.75        -2.5  -0.0131768
13        -2.5       -2.25  -0.0133992
14       -2.25          -2  -0.0116567
15          -2       -1.75 -0.00861503
16       -1.75        -1.5 -0.00624835
17        -1.5       -1.25 -0.00250531
18       -1.25          -1  0.00049352
19          -1       -0.75  0.00484342
20       -0.75        -0.5  0.00779231
21        -0.5       -0.25   0.0096328
22       -0.25           0   0.0105272
23           0        0.25   0.0105452
24        0.25         0.5   0.0096249
25         0.5        0.75  0.00782785
26        0.75           1  0.00494026
27           1        1.25 0.000372957
28        1.25         1.5 -0.00250192
29         1.5        1.75 -0.00621813
30        1.75           2  -0.0085188
31           2        2.25   -0.011648
32        2.25         2.5  -0.0133789
33         2.5        2.75  -0.0131434
34        2.75           3  -0.0129338
35           3        3.25  -0.0126465
36        3.25         3.5  -0.0121591
37         3.5        3.75  -0.0168292
38        3.75           4   -0.030861
39           4        4.25   -0.044748
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
