#put your comments after a '#' 
# PDF relativeSensitivity_cteq65_vector_6.txt
#Bin        XMin        XMax     Entries
1        -5.5       -5.25           0
2       -5.25          -5           0
3          -5       -4.75           0
4       -4.75        -4.5           0
5        -4.5       -4.25           0
6       -4.25          -4           0
7          -4       -3.75  -0.0172547
8       -3.75        -3.5  -0.0186047
9        -3.5       -3.25  -0.0163929
10       -3.25          -3   -0.012762
11          -3       -2.75 -0.00839091
12       -2.75        -2.5 -0.00458631
13        -2.5       -2.25  -0.0017231
14       -2.25          -2 0.000610868
15          -2       -1.75  0.00213376
16       -1.75        -1.5  0.00195693
17        -1.5       -1.25  0.00206867
18       -1.25          -1  0.00104657
19          -1       -0.75  0.00157943
20       -0.75        -0.5  0.00121027
21        -0.5       -0.25 0.000781709
22       -0.25           0 0.000570909
23           0        0.25 0.000551771
24        0.25         0.5  0.00080234
25         0.5        0.75  0.00117111
26        0.75           1  0.00153629
27           1        1.25  0.00112682
28        1.25         1.5   0.0021186
29         1.5        1.75  0.00198282
30        1.75           2  0.00214754
31           2        2.25 0.000662486
32        2.25         2.5 -0.00177676
33         2.5        2.75 -0.00467566
34        2.75           3 -0.00851585
35           3        3.25  -0.0127836
36        3.25         3.5  -0.0163281
37         3.5        3.75  -0.0185299
38        3.75           4  -0.0199427
39           4        4.25  -0.0535866
40        4.25         4.5           0
41         4.5        4.75           0
42        4.75           5           0
43           5        5.25           0
